Name,Course,Progress,Grade,Missed_deadlines
Azizbek Karimov,English,7,"7.7, 9.2, 8.1, 10.0, 7.1, 8.4, 8.2",6
Madina Saidova,Math,6,"6.8, 7.7, 7.2, 6.3, 8.0, 7.8",0
Doston Rashidov,English Math,11,"7.6, 8.5, 8.2, 7.2, 9.3, 7.8, 7.8, 9.8, 7.6, 9.4, 6.7",0
Gulnora Turaeva,English,7,"9.0, 9.3, 7.8, 8.7, 7.0, 7.2, 6.4",6
Jasur Umarov,Math,10,"4.7, 5.5, 5.5, 7.1, 8.6, 7.2, 7.1, 7.9, 5.7, 9.8",4
Zarina Ismatova,English&Math,11,"7.6, 9.3, 8.5, 7.9, 10.0, 8.0, 8.4, 8.7, 5.6, 7.4, 8.1",5
Bekzod Aliev,English,7,"7.7, 6.0, 7.2, 7.5, 8.5, 9.6, 5.1",4
Dilnoza Sobirova,Math,5,"8.2, 9.0, 4.5, 8.8, 8.3",6
Farhod Xalilov,"English,Math",9,"6.4, 6.8, 6.9, 6.2, 6.1, 6.6, 6.5, 6.1, 10.0",6
Sabina Rustamova,English,7,"9.1, 9.1, 8.7, 8.2, 9.1, 8.2, 7.9",3
Otabek Karimov,Math,7,"7.8, 4.3, 7.8, 9.9, 7.9, 6.3, 7.8",1
Dilshod Aliev,English & Math,17,"4.4, 8.9, 7.8, 5.1, 7.7, 4.8, 7.9, 10.0, 8.9, 6.8, 10.0, 8.3, 6.5, 8.7, 9.4, 6.5, 8.5",0
Malika Tursunova,Math,11,"7.4, 10.0, 5.4, 6.1, 6.3, 6.0, 6.4, 10.0, 7.8, 5.3, 8.4",0
Rustam Juraev,Math,11,"7.7, 6.1, 7.8, 10.0, 6.0, 8.2, 7.3, 7.0, 6.0, 8.3, 4.7",4
Kamola Sobirova,English & Math,22,"6.6, 8.9, 9.1, 4.3, 6.4, 8.7, 8.2, 7.2, 9.5, 9.6, 6.5, 5.2, 8.5, 6.4, 9.6, 9.6, 4.8, 9.8, 10.0, 6.7, 8.6, 6.1",5
Sherzod Nabiev,Math,11,"7.6, 8.5, 8.2, 5.0, 9.3, 6.4, 8.6, 5.3, 6.1, 6.1, 9.7",3
Nigora Yusupova,English & Math,19,"9.1, 7.0, 9.2, 5.6, 9.8, 8.1, 8.0, 7.7, 7.1, 6.5, 6.3, 4.5, 6.3, 4.4, 8.7, 10.0, 8.6, 6.4, 7.3",5
Anvar Umarov,Math,11,"7.0, 7.1, 6.3, 9.9, 7.8, 5.5, 8.8, 8.0, 6.3, 6.8, 8.0",4
Sevara Saidova,English & Math,8,"5.0, 8.6, 5.2, 5.3, 9.1, 5.7, 5.2, 8.0",0
Javohir Toshpulatov,English & Math,12,"8.4, 5.2, 8.0, 6.0, 10.0, 8.4, 7.7, 7.2, 8.8, 9.3, 6.4, 6.1",0
