Name,Course,Progress,Grade,Missed_deadlines
Azizbek Karimov,English,4,"8, 9, 8.5, 9.5",2
Madina Saidova,Math,3,"7, 8, 6.5",0
Doston Rashidov,English Math,6,"9, 8, 7.5, 9, 8.5, 9",0
Gulnora Turaeva,English,2,"10, 9",2
Jasur Umarov,Math,4,"5, 6, 5.5, 7",0
Zarina Ismatova,English&Math,8,"8, 8.5, 9, 7.5, 9, 9.5, 8, 8.5",5
Bekzod Aliev,English,3,"7, 7.5, 8",1
Dilnoza Sobirova,Math,2,"9, 9.5",3
Farhod Xalilov,"English,Math",4,"6, 7, 6.5, 7.5",2
Sabina Rustamova,English,4,"9, 10, 9, 9.5",1
Otabek Karimov,Math,4,"8.1, 6.1, 6.9, 9.9",0
Dilshod Aliev,English & Math,13,"5.3, 8.8, 7.7, 5.9, 6.6, 6.2, 9.7, 9.4, 8.2, 6.4, 9.7, 8.6, 6.0",0
Malika Tursunova,Math,11,"7.4, 9.8, 5.2, 6.1, 7.0, 6.1, 6.1, 9.7, 9.1, 5.9, 7.8",0
Rustam Juraev,Math,7,"8.8, 7.5, 7.6, 9.3, 6.7, 8.1, 7.5",0
Kamola Sobirova,English & Math,20,"7.0, 9.9, 9.1, 6.0, 5.9, 8.2, 8.9, 8.6, 9.1, 9.9, 5.9, 5.9, 8.5, 8.1, 10.0, 8.5, 5.3, 9.5, 9.3, 6.8",0
Sherzod Nabiev,Math,11,"7.2, 7.6, 8.8, 5.7, 9.3, 5.2, 9.6, 5.9, 6.4, 5.7, 9.5",0
Nigora Yusupova,English & Math,15,"8.7, 6.8, 8.0, 5.6, 8.6, 7.5, 8.9, 8.8, 8.4, 7.6, 7.1, 5.5, 7.1, 6.3, 8.4",2
Anvar Umarov,Math,11,"6.8, 6.5, 6.0, 9.6, 8.1, 7.0, 7.7, 8.4, 7.4, 5.3, 6.9",0
Sevara Saidova,English & Math,3,"5.1, 7.3, 6.2",0
Javohir Toshpulatov,English & Math,6,"9.9, 5.4, 7.0, 6.0, 8.9, 9.3",0
